p1	p2	MoI	P(lyso)
p1=0.2	p2=0.2	0.01	0.03
p1=0.2	p2=0.2	0.02	0.02
p1=0.2	p2=0.2	0.03	0.06
p1=0.2	p2=0.2	0.04	0.04
p1=0.2	p2=0.2	0.05	0.01
p1=0.2	p2=0.2	0.06	0.03
p1=0.2	p2=0.2	0.07	0.01
p1=0.2	p2=0.2	0.08	0.04
p1=0.2	p2=0.2	0.09	0.01
p1=0.2	p2=0.2	0.1	0.02
p1=0.2	p2=0.2	0.11	0.03
p1=0.2	p2=0.2	0.12	0.02
p1=0.2	p2=0.2	0.13	0.03
p1=0.2	p2=0.2	0.14	0.03
p1=0.2	p2=0.2	0.15	0.08
p1=0.2	p2=0.2	0.16	0.03
p1=0.2	p2=0.2	0.17	0.04
p1=0.2	p2=0.2	0.18	0.04
p1=0.2	p2=0.2	0.19	0.02
p1=0.2	p2=0.2	0.2	0.05
p1=0.2	p2=0.2	0.21	0.01
p1=0.2	p2=0.2	0.22	0.03
p1=0.2	p2=0.2	0.23	0.04
p1=0.2	p2=0.2	0.24	0.01
p1=0.2	p2=0.2	0.25	0.01
p1=0.2	p2=0.2	0.26	0.03
p1=0.2	p2=0.2	0.27	0.01
p1=0.2	p2=0.2	0.28	0.01
p1=0.2	p2=0.2	0.29	0.04
p1=0.2	p2=0.2	0.3	0.04
p1=0.2	p2=0.2	0.31	0.01
p1=0.2	p2=0.2	0.32	0.02
p1=0.2	p2=0.2	0.33	0.02
p1=0.2	p2=0.2	0.34	0.01
p1=0.2	p2=0.2	0.35	0.11
p1=0.2	p2=0.2	0.36	0.02
p1=0.2	p2=0.2	0.37	0.01
p1=0.2	p2=0.2	0.38	0.07
p1=0.2	p2=0.2	0.39	0.04
p1=0.2	p2=0.2	0.4	0.02
p1=0.2	p2=0.2	0.41	0.01
p1=0.2	p2=0.2	0.42	0.02
p1=0.2	p2=0.2	0.43	0.01
p1=0.2	p2=0.2	0.44	0.05
p1=0.2	p2=0.2	0.45	0.01
p1=0.2	p2=0.2	0.46	0.05
p1=0.2	p2=0.2	0.47	0.01
p1=0.2	p2=0.2	0.48	0.03
p1=0.2	p2=0.2	0.49	0.11
p1=0.2	p2=0.2	0.5	0.02
p1=0.2	p2=0.2	0.51	0.03
p1=0.2	p2=0.2	0.52	0.02
p1=0.2	p2=0.2	0.53	0.07
p1=0.2	p2=0.2	0.54	0.03
p1=0.2	p2=0.2	0.55	0.03
p1=0.2	p2=0.2	0.56	0.06
p1=0.2	p2=0.2	0.57	0.07
p1=0.2	p2=0.2	0.58	0.04
p1=0.2	p2=0.2	0.59	0.13
p1=0.2	p2=0.2	0.6	0.19
p1=0.2	p2=0.2	0.61	0.14
p1=0.2	p2=0.2	0.62	0.14
p1=0.2	p2=0.2	0.63	0.18
p1=0.2	p2=0.2	0.64	0.26
p1=0.2	p2=0.2	0.65	0.16
p1=0.2	p2=0.2	0.66	0.24
p1=0.2	p2=0.2	0.67	0.27
p1=0.2	p2=0.2	0.68	0.34
p1=0.2	p2=0.2	0.69	0.33
p1=0.2	p2=0.2	0.7	0.38
p1=0.2	p2=0.2	0.71	0.32
p1=0.2	p2=0.2	0.72	0.36
p1=0.2	p2=0.2	0.73	0.38
p1=0.2	p2=0.2	0.74	0.4
p1=0.2	p2=0.2	0.75	0.44
p1=0.2	p2=0.2	0.76	0.38
p1=0.2	p2=0.2	0.77	0.41
p1=0.2	p2=0.2	0.78	0.46
p1=0.2	p2=0.2	0.79	0.46
p1=0.2	p2=0.2	0.8	0.5
p1=0.2	p2=0.2	0.81	0.47
p1=0.2	p2=0.2	0.82	0.5
p1=0.2	p2=0.2	0.83	0.51
p1=0.2	p2=0.2	0.84	0.57
p1=0.2	p2=0.2	0.85	0.55
p1=0.2	p2=0.2	0.86	0.56
p1=0.2	p2=0.2	0.87	0.6
p1=0.2	p2=0.2	0.88	0.56
p1=0.2	p2=0.2	0.89	0.57
p1=0.2	p2=0.2	0.9	0.64
p1=0.2	p2=0.2	0.91	0.59
p1=0.2	p2=0.2	0.92	0.67
p1=0.2	p2=0.2	0.93	0.66
p1=0.2	p2=0.2	0.94	0.63
p1=0.2	p2=0.2	0.95	0.67
p1=0.2	p2=0.2	0.96	0.63
p1=0.2	p2=0.2	0.97	0.68
p1=0.2	p2=0.2	0.98	0.66
p1=0.2	p2=0.2	0.99	0.69
p1=0.2	p2=0.2	1.0	0.69
p1=0.2	p2=0.4	0.01	0.02
p1=0.2	p2=0.4	0.02	0.1
p1=0.2	p2=0.4	0.03	0.03
p1=0.2	p2=0.4	0.04	0.01
p1=0.2	p2=0.4	0.05	0.03
p1=0.2	p2=0.4	0.06	0.03
p1=0.2	p2=0.4	0.07	0.03
p1=0.2	p2=0.4	0.08	0.01
p1=0.2	p2=0.4	0.09	0.04
p1=0.2	p2=0.4	0.1	0.02
p1=0.2	p2=0.4	0.11	0.08
p1=0.2	p2=0.4	0.12	0.03
p1=0.2	p2=0.4	0.13	0.03
p1=0.2	p2=0.4	0.14	0.06
p1=0.2	p2=0.4	0.15	0.02
p1=0.2	p2=0.4	0.16	0.01
p1=0.2	p2=0.4	0.17	0.05
p1=0.2	p2=0.4	0.18	0.02
p1=0.2	p2=0.4	0.19	0.01
p1=0.2	p2=0.4	0.2	0.07
p1=0.2	p2=0.4	0.21	0.01
p1=0.2	p2=0.4	0.22	0.04
p1=0.2	p2=0.4	0.23	0.03
p1=0.2	p2=0.4	0.24	0.01
p1=0.2	p2=0.4	0.25	0.07
p1=0.2	p2=0.4	0.26	0.02
p1=0.2	p2=0.4	0.27	0.01
p1=0.2	p2=0.4	0.28	0.02
p1=0.2	p2=0.4	0.29	0.04
p1=0.2	p2=0.4	0.3	0.04
p1=0.2	p2=0.4	0.31	0.02
p1=0.2	p2=0.4	0.32	0.09
p1=0.2	p2=0.4	0.33	0.11
p1=0.2	p2=0.4	0.34	0.08
p1=0.2	p2=0.4	0.35	0.05
p1=0.2	p2=0.4	0.36	0.01
p1=0.2	p2=0.4	0.37	0.01
p1=0.2	p2=0.4	0.38	0.02
p1=0.2	p2=0.4	0.39	0.01
p1=0.2	p2=0.4	0.4	0.03
p1=0.2	p2=0.4	0.41	0.04
p1=0.2	p2=0.4	0.42	0.03
p1=0.2	p2=0.4	0.43	0.02
p1=0.2	p2=0.4	0.44	0.04
p1=0.2	p2=0.4	0.45	0.08
p1=0.2	p2=0.4	0.46	0.06
p1=0.2	p2=0.4	0.47	0.04
p1=0.2	p2=0.4	0.48	0.06
p1=0.2	p2=0.4	0.49	0.03
p1=0.2	p2=0.4	0.5	0.02
p1=0.2	p2=0.4	0.51	0.01
p1=0.2	p2=0.4	0.52	0.02
p1=0.2	p2=0.4	0.53	0.03
p1=0.2	p2=0.4	0.54	0.01
p1=0.2	p2=0.4	0.55	0.04
p1=0.2	p2=0.4	0.56	0.01
p1=0.2	p2=0.4	0.57	0.06
p1=0.2	p2=0.4	0.58	0.08
p1=0.2	p2=0.4	0.59	0.11
p1=0.2	p2=0.4	0.6	0.15
p1=0.2	p2=0.4	0.61	0.15
p1=0.2	p2=0.4	0.62	0.07
p1=0.2	p2=0.4	0.63	0.21
p1=0.2	p2=0.4	0.64	0.26
p1=0.2	p2=0.4	0.65	0.22
p1=0.2	p2=0.4	0.66	0.24
p1=0.2	p2=0.4	0.67	0.22
p1=0.2	p2=0.4	0.68	0.34
p1=0.2	p2=0.4	0.69	0.26
p1=0.2	p2=0.4	0.7	0.29
p1=0.2	p2=0.4	0.71	0.39
p1=0.2	p2=0.4	0.72	0.37
p1=0.2	p2=0.4	0.73	0.35
p1=0.2	p2=0.4	0.74	0.4
p1=0.2	p2=0.4	0.75	0.4
p1=0.2	p2=0.4	0.76	0.41
p1=0.2	p2=0.4	0.77	0.44
p1=0.2	p2=0.4	0.78	0.42
p1=0.2	p2=0.4	0.79	0.43
p1=0.2	p2=0.4	0.8	0.5
p1=0.2	p2=0.4	0.81	0.46
p1=0.2	p2=0.4	0.82	0.45
p1=0.2	p2=0.4	0.83	0.53
p1=0.2	p2=0.4	0.84	0.5
p1=0.2	p2=0.4	0.85	0.55
p1=0.2	p2=0.4	0.86	0.6
p1=0.2	p2=0.4	0.87	0.58
p1=0.2	p2=0.4	0.88	0.59
p1=0.2	p2=0.4	0.89	0.59
p1=0.2	p2=0.4	0.9	0.59
p1=0.2	p2=0.4	0.91	0.57
p1=0.2	p2=0.4	0.92	0.63
p1=0.2	p2=0.4	0.93	0.62
p1=0.2	p2=0.4	0.94	0.65
p1=0.2	p2=0.4	0.95	0.63
p1=0.2	p2=0.4	0.96	0.64
p1=0.2	p2=0.4	0.97	0.66
p1=0.2	p2=0.4	0.98	0.66
p1=0.2	p2=0.4	0.99	0.66
p1=0.2	p2=0.4	1.0	0.65
p1=0.2	p2=0.6	0.01	0.03
p1=0.2	p2=0.6	0.02	0.03
p1=0.2	p2=0.6	0.03	0.05
p1=0.2	p2=0.6	0.04	0.01
p1=0.2	p2=0.6	0.05	0.02
p1=0.2	p2=0.6	0.06	0.04
p1=0.2	p2=0.6	0.07	0.05
p1=0.2	p2=0.6	0.08	0.06
p1=0.2	p2=0.6	0.09	0.06
p1=0.2	p2=0.6	0.1	0.03
p1=0.2	p2=0.6	0.11	0.01
p1=0.2	p2=0.6	0.12	0.03
p1=0.2	p2=0.6	0.13	0.03
p1=0.2	p2=0.6	0.14	0.02
p1=0.2	p2=0.6	0.15	0.03
p1=0.2	p2=0.6	0.16	0.01
p1=0.2	p2=0.6	0.17	0.01
p1=0.2	p2=0.6	0.18	0.05
p1=0.2	p2=0.6	0.19	0.02
p1=0.2	p2=0.6	0.2	0.03
p1=0.2	p2=0.6	0.21	0.01
p1=0.2	p2=0.6	0.22	0.08
p1=0.2	p2=0.6	0.23	0.17
p1=0.2	p2=0.6	0.24	0.02
p1=0.2	p2=0.6	0.25	0.1
p1=0.2	p2=0.6	0.26	0.02
p1=0.2	p2=0.6	0.27	0.03
p1=0.2	p2=0.6	0.28	0.07
p1=0.2	p2=0.6	0.29	0.01
p1=0.2	p2=0.6	0.3	0.03
p1=0.2	p2=0.6	0.31	0.01
p1=0.2	p2=0.6	0.32	0.01
p1=0.2	p2=0.6	0.33	0.02
p1=0.2	p2=0.6	0.34	0.02
p1=0.2	p2=0.6	0.35	0.06
p1=0.2	p2=0.6	0.36	0.02
p1=0.2	p2=0.6	0.37	0.01
p1=0.2	p2=0.6	0.38	0.02
p1=0.2	p2=0.6	0.39	0.03
p1=0.2	p2=0.6	0.4	0.01
p1=0.2	p2=0.6	0.41	0.02
p1=0.2	p2=0.6	0.42	0.02
p1=0.2	p2=0.6	0.43	0.02
p1=0.2	p2=0.6	0.44	0.01
p1=0.2	p2=0.6	0.45	0.04
p1=0.2	p2=0.6	0.46	0.02
p1=0.2	p2=0.6	0.47	0.02
p1=0.2	p2=0.6	0.48	0.01
p1=0.2	p2=0.6	0.49	0.05
p1=0.2	p2=0.6	0.5	0.01
p1=0.2	p2=0.6	0.51	0.01
p1=0.2	p2=0.6	0.52	0.07
p1=0.2	p2=0.6	0.53	0.09
p1=0.2	p2=0.6	0.54	0.04
p1=0.2	p2=0.6	0.55	0.02
p1=0.2	p2=0.6	0.56	0.05
p1=0.2	p2=0.6	0.57	0.02
p1=0.2	p2=0.6	0.58	0.05
p1=0.2	p2=0.6	0.59	0.12
p1=0.2	p2=0.6	0.6	0.13
p1=0.2	p2=0.6	0.61	0.15
p1=0.2	p2=0.6	0.62	0.13
p1=0.2	p2=0.6	0.63	0.09
p1=0.2	p2=0.6	0.64	0.21
p1=0.2	p2=0.6	0.65	0.26
p1=0.2	p2=0.6	0.66	0.26
p1=0.2	p2=0.6	0.67	0.22
p1=0.2	p2=0.6	0.68	0.29
p1=0.2	p2=0.6	0.69	0.24
p1=0.2	p2=0.6	0.7	0.27
p1=0.2	p2=0.6	0.71	0.28
p1=0.2	p2=0.6	0.72	0.35
p1=0.2	p2=0.6	0.73	0.38
p1=0.2	p2=0.6	0.74	0.41
p1=0.2	p2=0.6	0.75	0.35
p1=0.2	p2=0.6	0.76	0.37
p1=0.2	p2=0.6	0.77	0.4
p1=0.2	p2=0.6	0.78	0.5
p1=0.2	p2=0.6	0.79	0.42
p1=0.2	p2=0.6	0.8	0.46
p1=0.2	p2=0.6	0.81	0.5
p1=0.2	p2=0.6	0.82	0.4
p1=0.2	p2=0.6	0.83	0.5
p1=0.2	p2=0.6	0.84	0.54
p1=0.2	p2=0.6	0.85	0.54
p1=0.2	p2=0.6	0.86	0.48
p1=0.2	p2=0.6	0.87	0.56
p1=0.2	p2=0.6	0.88	0.56
p1=0.2	p2=0.6	0.89	0.54
p1=0.2	p2=0.6	0.9	0.56
p1=0.2	p2=0.6	0.91	0.58
p1=0.2	p2=0.6	0.92	0.59
p1=0.2	p2=0.6	0.93	0.6
p1=0.2	p2=0.6	0.94	0.6
p1=0.2	p2=0.6	0.95	0.64
p1=0.2	p2=0.6	0.96	0.62
p1=0.2	p2=0.6	0.97	0.62
p1=0.2	p2=0.6	0.98	0.64
p1=0.2	p2=0.6	0.99	0.67
p1=0.2	p2=0.6	1.0	0.67
p1=0.2	p2=0.8	0.01	0.01
p1=0.2	p2=0.8	0.02	0.01
p1=0.2	p2=0.8	0.03	0.02
p1=0.2	p2=0.8	0.04	0.02
p1=0.2	p2=0.8	0.05	0.03
p1=0.2	p2=0.8	0.06	0.01
p1=0.2	p2=0.8	0.07	0.05
p1=0.2	p2=0.8	0.08	0.02
p1=0.2	p2=0.8	0.09	0.02
p1=0.2	p2=0.8	0.1	0.02
p1=0.2	p2=0.8	0.11	0.11
p1=0.2	p2=0.8	0.12	0.02
p1=0.2	p2=0.8	0.13	0.08
p1=0.2	p2=0.8	0.14	0.04
p1=0.2	p2=0.8	0.15	0.02
p1=0.2	p2=0.8	0.16	0.01
p1=0.2	p2=0.8	0.17	0.06
p1=0.2	p2=0.8	0.18	0.08
p1=0.2	p2=0.8	0.19	0.03
p1=0.2	p2=0.8	0.2	0.03
p1=0.2	p2=0.8	0.21	0.03
p1=0.2	p2=0.8	0.22	0.02
p1=0.2	p2=0.8	0.23	0.01
p1=0.2	p2=0.8	0.24	0.07
p1=0.2	p2=0.8	0.25	0.02
p1=0.2	p2=0.8	0.26	0.06
p1=0.2	p2=0.8	0.27	0.01
p1=0.2	p2=0.8	0.28	0.03
p1=0.2	p2=0.8	0.29	0.04
p1=0.2	p2=0.8	0.3	0.04
p1=0.2	p2=0.8	0.31	0.02
p1=0.2	p2=0.8	0.32	0.03
p1=0.2	p2=0.8	0.33	0.07
p1=0.2	p2=0.8	0.34	0.06
p1=0.2	p2=0.8	0.35	0.03
p1=0.2	p2=0.8	0.36	0.03
p1=0.2	p2=0.8	0.37	0.02
p1=0.2	p2=0.8	0.38	0.03
p1=0.2	p2=0.8	0.39	0.02
p1=0.2	p2=0.8	0.4	0.02
p1=0.2	p2=0.8	0.41	0.01
p1=0.2	p2=0.8	0.42	0.03
p1=0.2	p2=0.8	0.43	0.04
p1=0.2	p2=0.8	0.44	0.03
p1=0.2	p2=0.8	0.45	0.05
p1=0.2	p2=0.8	0.46	0.01
p1=0.2	p2=0.8	0.47	0.03
p1=0.2	p2=0.8	0.48	0.12
p1=0.2	p2=0.8	0.49	0.01
p1=0.2	p2=0.8	0.5	0.03
p1=0.2	p2=0.8	0.51	0.02
p1=0.2	p2=0.8	0.52	0.01
p1=0.2	p2=0.8	0.53	0.01
p1=0.2	p2=0.8	0.54	0.01
p1=0.2	p2=0.8	0.55	0.02
p1=0.2	p2=0.8	0.56	0.01
p1=0.2	p2=0.8	0.57	0.12
p1=0.2	p2=0.8	0.58	0.12
p1=0.2	p2=0.8	0.59	0.01
p1=0.2	p2=0.8	0.6	0.11
p1=0.2	p2=0.8	0.61	0.1
p1=0.2	p2=0.8	0.62	0.18
p1=0.2	p2=0.8	0.63	0.19
p1=0.2	p2=0.8	0.64	0.16
p1=0.2	p2=0.8	0.65	0.11
p1=0.2	p2=0.8	0.66	0.25
p1=0.2	p2=0.8	0.67	0.28
p1=0.2	p2=0.8	0.68	0.3
p1=0.2	p2=0.8	0.69	0.3
p1=0.2	p2=0.8	0.7	0.33
p1=0.2	p2=0.8	0.71	0.34
p1=0.2	p2=0.8	0.72	0.35
p1=0.2	p2=0.8	0.73	0.34
p1=0.2	p2=0.8	0.74	0.38
p1=0.2	p2=0.8	0.75	0.36
p1=0.2	p2=0.8	0.76	0.37
p1=0.2	p2=0.8	0.77	0.37
p1=0.2	p2=0.8	0.78	0.45
p1=0.2	p2=0.8	0.79	0.45
p1=0.2	p2=0.8	0.8	0.46
p1=0.2	p2=0.8	0.81	0.47
p1=0.2	p2=0.8	0.82	0.44
p1=0.2	p2=0.8	0.83	0.48
p1=0.2	p2=0.8	0.84	0.49
p1=0.2	p2=0.8	0.85	0.47
p1=0.2	p2=0.8	0.86	0.53
p1=0.2	p2=0.8	0.87	0.54
p1=0.2	p2=0.8	0.88	0.55
p1=0.2	p2=0.8	0.89	0.54
p1=0.2	p2=0.8	0.9	0.54
p1=0.2	p2=0.8	0.91	0.58
p1=0.2	p2=0.8	0.92	0.55
p1=0.2	p2=0.8	0.93	0.59
p1=0.2	p2=0.8	0.94	0.61
p1=0.2	p2=0.8	0.95	0.59
p1=0.2	p2=0.8	0.96	0.56
p1=0.2	p2=0.8	0.97	0.63
p1=0.2	p2=0.8	0.98	0.63
p1=0.2	p2=0.8	0.99	0.63
p1=0.2	p2=0.8	1.0	0.64
p1=0.2	p2=1.0	0.01	0.04
p1=0.2	p2=1.0	0.02	0.09
p1=0.2	p2=1.0	0.03	0.05
p1=0.2	p2=1.0	0.04	0.03
p1=0.2	p2=1.0	0.05	0.02
p1=0.2	p2=1.0	0.06	0.06
p1=0.2	p2=1.0	0.07	0.06
p1=0.2	p2=1.0	0.08	0.06
p1=0.2	p2=1.0	0.09	0.06
p1=0.2	p2=1.0	0.1	0.02
p1=0.2	p2=1.0	0.11	0.01
p1=0.2	p2=1.0	0.12	0.1
p1=0.2	p2=1.0	0.13	0.01
p1=0.2	p2=1.0	0.14	0.03
p1=0.2	p2=1.0	0.15	0.07
p1=0.2	p2=1.0	0.16	0.03
p1=0.2	p2=1.0	0.17	0.02
p1=0.2	p2=1.0	0.18	0.02
p1=0.2	p2=1.0	0.19	0.04
p1=0.2	p2=1.0	0.2	0.01
p1=0.2	p2=1.0	0.21	0.03
p1=0.2	p2=1.0	0.22	0.03
p1=0.2	p2=1.0	0.23	0.01
p1=0.2	p2=1.0	0.24	0.03
p1=0.2	p2=1.0	0.25	0.04
p1=0.2	p2=1.0	0.26	0.07
p1=0.2	p2=1.0	0.27	0.01
p1=0.2	p2=1.0	0.28	0.03
p1=0.2	p2=1.0	0.29	0.02
p1=0.2	p2=1.0	0.3	0.05
p1=0.2	p2=1.0	0.31	0.08
p1=0.2	p2=1.0	0.32	0.02
p1=0.2	p2=1.0	0.33	0.05
p1=0.2	p2=1.0	0.34	0.02
p1=0.2	p2=1.0	0.35	0.04
p1=0.2	p2=1.0	0.36	0.06
p1=0.2	p2=1.0	0.37	0.01
p1=0.2	p2=1.0	0.38	0.01
p1=0.2	p2=1.0	0.39	0.01
p1=0.2	p2=1.0	0.4	0.03
p1=0.2	p2=1.0	0.41	0.01
p1=0.2	p2=1.0	0.42	0.01
p1=0.2	p2=1.0	0.43	0.04
p1=0.2	p2=1.0	0.44	0.01
p1=0.2	p2=1.0	0.45	0.02
p1=0.2	p2=1.0	0.46	0.01
p1=0.2	p2=1.0	0.47	0.04
p1=0.2	p2=1.0	0.48	0.06
p1=0.2	p2=1.0	0.49	0.02
p1=0.2	p2=1.0	0.5	0.03
p1=0.2	p2=1.0	0.51	0.01
p1=0.2	p2=1.0	0.52	0.04
p1=0.2	p2=1.0	0.53	0.04
p1=0.2	p2=1.0	0.54	0.03
p1=0.2	p2=1.0	0.55	0.05
p1=0.2	p2=1.0	0.56	0.01
p1=0.2	p2=1.0	0.57	0.07
p1=0.2	p2=1.0	0.58	0.01
p1=0.2	p2=1.0	0.59	0.07
p1=0.2	p2=1.0	0.6	0.12
p1=0.2	p2=1.0	0.61	0.1
p1=0.2	p2=1.0	0.62	0.14
p1=0.2	p2=1.0	0.63	0.19
p1=0.2	p2=1.0	0.64	0.18
p1=0.2	p2=1.0	0.65	0.2
p1=0.2	p2=1.0	0.66	0.26
p1=0.2	p2=1.0	0.67	0.29
p1=0.2	p2=1.0	0.68	0.23
p1=0.2	p2=1.0	0.69	0.31
p1=0.2	p2=1.0	0.7	0.28
p1=0.2	p2=1.0	0.71	0.31
p1=0.2	p2=1.0	0.72	0.33
p1=0.2	p2=1.0	0.73	0.3
p1=0.2	p2=1.0	0.74	0.36
p1=0.2	p2=1.0	0.75	0.38
p1=0.2	p2=1.0	0.76	0.39
p1=0.2	p2=1.0	0.77	0.4
p1=0.2	p2=1.0	0.78	0.43
p1=0.2	p2=1.0	0.79	0.45
p1=0.2	p2=1.0	0.8	0.45
p1=0.2	p2=1.0	0.81	0.4
p1=0.2	p2=1.0	0.82	0.48
p1=0.2	p2=1.0	0.83	0.49
p1=0.2	p2=1.0	0.84	0.5
p1=0.2	p2=1.0	0.85	0.48
p1=0.2	p2=1.0	0.86	0.52
p1=0.2	p2=1.0	0.87	0.48
p1=0.2	p2=1.0	0.88	0.51
p1=0.2	p2=1.0	0.89	0.55
p1=0.2	p2=1.0	0.9	0.52
p1=0.2	p2=1.0	0.91	0.5
p1=0.2	p2=1.0	0.92	0.55
p1=0.2	p2=1.0	0.93	0.52
p1=0.2	p2=1.0	0.94	0.52
p1=0.2	p2=1.0	0.95	0.59
p1=0.2	p2=1.0	0.96	0.6
p1=0.2	p2=1.0	0.97	0.59
p1=0.2	p2=1.0	0.98	0.6
p1=0.2	p2=1.0	0.99	0.61
p1=0.2	p2=1.0	1.0	0.63
p1=0.4	p2=0.2	0.01	0.03
p1=0.4	p2=0.2	0.02	0.01
p1=0.4	p2=0.2	0.03	0.02
p1=0.4	p2=0.2	0.04	0.05
p1=0.4	p2=0.2	0.05	0.01
p1=0.4	p2=0.2	0.06	0.09
p1=0.4	p2=0.2	0.07	0.02
p1=0.4	p2=0.2	0.08	0.02
p1=0.4	p2=0.2	0.09	0.01
p1=0.4	p2=0.2	0.1	0.01
p1=0.4	p2=0.2	0.11	0.05
p1=0.4	p2=0.2	0.12	0.01
p1=0.4	p2=0.2	0.13	0.01
p1=0.4	p2=0.2	0.14	0.06
p1=0.4	p2=0.2	0.15	0.03
p1=0.4	p2=0.2	0.16	0.06
p1=0.4	p2=0.2	0.17	0.01
p1=0.4	p2=0.2	0.18	0.03
p1=0.4	p2=0.2	0.19	0.02
p1=0.4	p2=0.2	0.2	0.03
p1=0.4	p2=0.2	0.21	0.01
p1=0.4	p2=0.2	0.22	0.03
p1=0.4	p2=0.2	0.23	0.04
p1=0.4	p2=0.2	0.24	0.03
p1=0.4	p2=0.2	0.25	0.01
p1=0.4	p2=0.2	0.26	0.01
p1=0.4	p2=0.2	0.27	0.01
p1=0.4	p2=0.2	0.28	0.02
p1=0.4	p2=0.2	0.29	0.01
p1=0.4	p2=0.2	0.3	0.02
p1=0.4	p2=0.2	0.31	0.01
p1=0.4	p2=0.2	0.32	0.1
p1=0.4	p2=0.2	0.33	0.01
p1=0.4	p2=0.2	0.34	0.03
p1=0.4	p2=0.2	0.35	0.02
p1=0.4	p2=0.2	0.36	0.04
p1=0.4	p2=0.2	0.37	0.06
p1=0.4	p2=0.2	0.38	0.12
p1=0.4	p2=0.2	0.39	0.16
p1=0.4	p2=0.2	0.4	0.21
p1=0.4	p2=0.2	0.41	0.22
p1=0.4	p2=0.2	0.42	0.25
p1=0.4	p2=0.2	0.43	0.22
p1=0.4	p2=0.2	0.44	0.28
p1=0.4	p2=0.2	0.45	0.34
p1=0.4	p2=0.2	0.46	0.34
p1=0.4	p2=0.2	0.47	0.33
p1=0.4	p2=0.2	0.48	0.41
p1=0.4	p2=0.2	0.49	0.43
p1=0.4	p2=0.2	0.5	0.43
p1=0.4	p2=0.2	0.51	0.48
p1=0.4	p2=0.2	0.52	0.43
p1=0.4	p2=0.2	0.53	0.45
p1=0.4	p2=0.2	0.54	0.52
p1=0.4	p2=0.2	0.55	0.52
p1=0.4	p2=0.2	0.56	0.49
p1=0.4	p2=0.2	0.57	0.51
p1=0.4	p2=0.2	0.58	0.56
p1=0.4	p2=0.2	0.59	0.54
p1=0.4	p2=0.2	0.6	0.58
p1=0.4	p2=0.2	0.61	0.58
p1=0.4	p2=0.2	0.62	0.59
p1=0.4	p2=0.2	0.63	0.63
p1=0.4	p2=0.2	0.64	0.63
p1=0.4	p2=0.2	0.65	0.65
p1=0.4	p2=0.2	0.66	0.66
p1=0.4	p2=0.2	0.67	0.66
p1=0.4	p2=0.2	0.68	0.69
p1=0.4	p2=0.2	0.69	0.69
p1=0.4	p2=0.2	0.7	0.7
p1=0.4	p2=0.2	0.71	0.72
p1=0.4	p2=0.2	0.72	0.73
p1=0.4	p2=0.2	0.73	0.72
p1=0.4	p2=0.2	0.74	0.71
p1=0.4	p2=0.2	0.75	0.74
p1=0.4	p2=0.2	0.76	0.74
p1=0.4	p2=0.2	0.77	0.76
p1=0.4	p2=0.2	0.78	0.75
p1=0.4	p2=0.2	0.79	0.78
p1=0.4	p2=0.2	0.8	0.76
p1=0.4	p2=0.2	0.81	0.78
p1=0.4	p2=0.2	0.82	0.8
p1=0.4	p2=0.2	0.83	0.79
p1=0.4	p2=0.2	0.84	0.81
p1=0.4	p2=0.2	0.85	0.82
p1=0.4	p2=0.2	0.86	0.84
p1=0.4	p2=0.2	0.87	0.84
p1=0.4	p2=0.2	0.88	0.83
p1=0.4	p2=0.2	0.89	0.84
p1=0.4	p2=0.2	0.9	0.85
p1=0.4	p2=0.2	0.91	0.84
p1=0.4	p2=0.2	0.92	0.85
p1=0.4	p2=0.2	0.93	0.86
p1=0.4	p2=0.2	0.94	0.87
p1=0.4	p2=0.2	0.95	0.87
p1=0.4	p2=0.2	0.96	0.89
p1=0.4	p2=0.2	0.97	0.89
p1=0.4	p2=0.2	0.98	0.91
p1=0.4	p2=0.2	0.99	0.9
p1=0.4	p2=0.2	1.0	0.91
p1=0.4	p2=0.4	0.01	0.09
p1=0.4	p2=0.4	0.02	0.05
p1=0.4	p2=0.4	0.03	0.02
p1=0.4	p2=0.4	0.04	0.03
p1=0.4	p2=0.4	0.05	0.01
p1=0.4	p2=0.4	0.06	0.04
p1=0.4	p2=0.4	0.07	0.03
p1=0.4	p2=0.4	0.08	0.04
p1=0.4	p2=0.4	0.09	0.03
p1=0.4	p2=0.4	0.1	0.04
p1=0.4	p2=0.4	0.11	0.04
p1=0.4	p2=0.4	0.12	0.02
p1=0.4	p2=0.4	0.13	0.01
p1=0.4	p2=0.4	0.14	0.01
p1=0.4	p2=0.4	0.15	0.03
p1=0.4	p2=0.4	0.16	0.01
p1=0.4	p2=0.4	0.17	0.04
p1=0.4	p2=0.4	0.18	0.01
p1=0.4	p2=0.4	0.19	0.03
p1=0.4	p2=0.4	0.2	0.03
p1=0.4	p2=0.4	0.21	0.01
p1=0.4	p2=0.4	0.22	0.03
p1=0.4	p2=0.4	0.23	0.01
p1=0.4	p2=0.4	0.24	0.03
p1=0.4	p2=0.4	0.25	0.04
p1=0.4	p2=0.4	0.26	0.03
p1=0.4	p2=0.4	0.27	0.01
p1=0.4	p2=0.4	0.28	0.02
p1=0.4	p2=0.4	0.29	0.04
p1=0.4	p2=0.4	0.3	0.01
p1=0.4	p2=0.4	0.31	0.02
p1=0.4	p2=0.4	0.32	0.05
p1=0.4	p2=0.4	0.33	0.01
p1=0.4	p2=0.4	0.34	0.01
p1=0.4	p2=0.4	0.35	0.04
